Title,Description,Status,Priority,Project,Labels,Estimate,Parent issue
"Search conversations by contact name","Add search bar in conversation list to filter by contact name in real-time","Backlog","3","Audit Exporter","search,ux,M1","2",""
"Filter by date range","Add date range filters: last 7/30/90 days, or custom date picker","Backlog","3","Audit Exporter","filter,ux,M1","3",""
"Filter by message count","Allow filtering conversations by minimum message count threshold","Backlog","4","Audit Exporter","filter,M1","2",""
"Progress bar during export","Show progress bar with percentage complete during export process","Backlog","2","Audit Exporter","export,ux,M1","3",""
"Estimated time remaining","Calculate and display estimated time remaining during export","Backlog","4","Audit Exporter","export,ux,M1","2",""
"Cancel export mid-process","Add ability to cancel ongoing export operation","Backlog","3","Audit Exporter","export,M1","3",""
"Export preview","Show preview of export content before saving","Backlog","4","Audit Exporter","export,ux,M1","4",""
"Settings: Default export location","Allow users to set default export folder in preferences","Backlog","3","Audit Exporter","settings,M1","2",""
"Settings: Timestamp format","Allow 12hr/24hr timestamp format preference","Backlog","4","Audit Exporter","settings,M1","1",""
"Settings: File naming conventions","Customizable file naming patterns for exports","Backlog","4","Audit Exporter","settings,M1","3",""
"Dark/light mode toggle","Add theme switcher in settings","Backlog","4","Audit Exporter","settings,ux,M1","2",""
"Remember window size/position","Persist window dimensions and position between sessions","Backlog","4","Audit Exporter","ux,M1","2",""
"Export history","Show last 10 exports with quick access","Backlog","3","Audit Exporter","ux,M1","3",""
"Quick re-export","One-click re-export of previous export configurations","Backlog","4","Audit Exporter","export,M1","2",""
"Keyboard shortcuts","Add Cmd+E (export), Cmd+F (search), etc.","Backlog","4","Audit Exporter","ux,accessibility,M1","2",""
"Add error boundary in React","Implement error boundaries to prevent full app crashes","Backlog","2","Audit Exporter","technical-debt,M1","2",""
"Improve error messages","Make error messages user-friendly and actionable","Backlog","3","Audit Exporter","technical-debt,ux,M1","2",""
"Add logging system","Implement logging for debugging user issues","Backlog","2","Audit Exporter","technical-debt,M1","3",""
"Performance optimization","Optimize conversation list rendering for 10k+ conversations","Backlog","3","Audit Exporter","technical-debt,performance,M1","4",""
"PDF Export","Export conversations as formatted PDF with metadata and page numbers","Backlog","2","Audit Exporter","export,pdf,M2","5",""
"PDF: Include attachment thumbnails","Embed image thumbnails in PDF exports","Backlog","3","Audit Exporter","export,pdf,M2","3","PDF Export"
"PDF: Header with agent info","Add customizable header with export date and agent information","Backlog","4","Audit Exporter","export,pdf,M2","2","PDF Export"
"CSV Export","Export messages as CSV with columns: timestamp, sender, message, attachments","Backlog","3","Audit Exporter","export,csv,M2","3",""
"HTML Export","Export as interactive HTML with chat bubble UI and embedded images","Backlog","3","Audit Exporter","export,html,M2","4",""
"Export attachments to subfolder","Create subfolder for attachments during export","Backlog","3","Audit Exporter","export,attachments,M2","3",""
